tr-0	七个工作日怎么算呀在学	XX什么意思
tr-1	去搞工作日怎么办呀	XX什么意思
tr-2	有偿服务是什么意思？	XX什么意思
tr-3	嗯请问关系证明是什么呀	XX什么意思
tr-4	泉州是什么意思啊	XX什么意思
tr-5	是个工作日怎么算呀	XX什么意思
tr-6	七十五工作日计算的	XX什么意思
tr-7	有偿服务的意思是什么	XX什么意思
tr-8	全部关系证明是什么	XX什么意思
tr-9	什么是国家备案人员啊	XX什么意思
tr-10	嗯七个工作日怎么	XX什么意思
tr-11	肩负关系证明是什么呀	XX什么意思
tr-12	国家队呀元是什么意思	XX什么意思
tr-13	什么是国家这样人呀	XX什么意思
tr-14	就逃服务啥意思	XX什么意思
tr-15	什么是牵住呢	XX什么意思
tr-16	下一个工作是怎么算的呀	XX什么意思
tr-17	清楚是什么意思呀	XX什么意思
tr-18	七个工作日	XX什么意思
tr-19	有偿服务是啥意思	XX什么意思
tr-20	什么是国家必然人员呀	XX什么意思
tr-21	今天哪里可以办理	办理地址
tr-22	我在渝北区在哪里办理一笔小新	办理地址
tr-23	我在江北街在哪里办理比较近啊	办理地址
tr-24	学生去的在哪里可以办理	办理地址
tr-25	办理港澳通行证贵不贵？	办理费用
tr-26	办理签证要多少钱？	办理费用
tr-27	去香港耍一次要好多钱？	办理费用
tr-28	一次/一年有效签注的费用？	办理费用
tr-29	哎签证需要多少钱	办理费用
tr-30	去澳门耍办理费用是否要很多钱？	办理费用
tr-31	办签证需要多少钱呀	办理费用
tr-32	办签证需要多少钱呀？	办理费用
tr-33	办一个签证多少钱？	办理费用
tr-34	去澳门耍一次要好多钱？	办理费用
tr-35	多少钱	办理费用
tr-36	是否很贵？	办理费用
tr-37	办护照和港澳通行证，分别需要多少钱呢？	办理费用
tr-38	香港旅游办理证件费用是好多？	办理费用
tr-39	他办理港澳通行证的费用是多少	办理费用
tr-40	港澳通行证过期重新办理怎么样收费	办理费用
tr-41	转签证需要多少钱啊	办理费用
tr-42	证件办理要多少钱？	办理费用
tr-43	二次赴港办理港澳签证需要多少天，工本费是多少，需要带哪些资料，如果在四川办理的港澳通行证在广东能出境吗	办理费用
tr-44	办签证要多少钱呀	办理费用
tr-45	是不是没有年龄限制？	办理年龄要求
tr-46	我妈可以办理不？	办理年龄要求
tr-47	婴儿可以办理么？	办理年龄要求
tr-48	办理年龄有什么要求	办理年龄要求
tr-49	我女儿没有上小学，可以办理不？	办理年龄要求
tr-50	读书娃儿可以办不？	办理年龄要求
tr-51	我爷爷可以办理不？	办理年龄要求
tr-52	对办理的年利有何要求	办理年龄要求
tr-53	年龄有限制没有？	办理年龄要求
tr-54	小朋友可以办不？	办理年龄要求
tr-55	学生可以办理吗	办理年龄要求
tr-56	没满16岁能办理么？	办理年龄要求
