怎么一下还两期	11	40
不能云闪付吗	107	69
人工服务日吗	123	34
刚才还款了，但是好像没成功	26	102
不提供借款	223	9
贷款审核综合评分不足	194	27
APP叫下载闪付，但解压不了的	17	190
 你好 我想借款为什么按申请那里没反应的？	20	30
申请多次不成功上证信吗	27	58
提示我手机号码不正确啊	33	9
几天到货	53	44
我买的东西什么时候发货	44	9
为什么账单还两个月的	40	11
只要别逾期就好	92	9
我还了两次钱，一次都没进账	26	11
咩有用	87	56
问下支付宝的安逸花不能借款什么问题要在app上可以借	8	103
怎么放款	79	13
怎么不能转微信红包了	230	4
微支付的银行卡和手机号不一致	4	202
更改还款日期在哪个地方啊真的是烦你们	54	18
**号之前还款，，不要打电话了	124	19
付款吗消费失败	9	219
马上微支付可以分期还款吗	4	153
黑户	9	96
微支付是一个额度吗	4	50
那你们就不可以帮我吗？	9	25
客服告诉我只有一百多。现在两百多一个月了	9	1
你回答的是什么	9	133
我以前都借过都按时还了	27	9
云闪付按日计息	88	17
请问，我可以现金贷吗	100	249
 我这个分九期还每个月应还******当你们每个月都要收******元，这是啊为什么？	1	40
综合评分不足额度借不出来	0	194
怎样更改这个还款日期啊	54	71
我想知道我申请额度为什么失败	0	48
我填亲属手机号 一直不行	14	236
为什么我货款***元％	60	1
我怎么没有额度呢，	0	50
益急款	78	99
请问分期商品与借款额度是共享的	48	50
翼支付	9	24
一天能借款多少次	216	265
分期后多久还第一期	71	153
我以前借过 N_* 现在怎么只能借****	37	50
我在你们平台明明贷了*期，为什么我的征信报告给我显示**期？	144	136
我的额度为什么不是你们客服说的一样	48	50
刚申请了延期还款日，怎样知道是否成功变更了？	7	228
微支付付款有利息吗	4	10
到了还款时间！没有账单提示还款	94	40
微支付能提现吗	4	103
逾期五天，还钱了要审核几天才可以继续提钱用	118	256
我刚刚借了一笔贷款****块钱了，能不能先不要出款给我？	113	9
逾期五天，还钱了要审核几天才可以继续提钱用	118	256
你讹人	87	75
金融还有贷款	24	60
哪里有分期门店	110	9
提前还款失败 不能分期是吗	22	89
到底还能不能借款了 	49	0
可借款额度有****	48	50
提前还款打电话输入身份证一直说错误哦	156	255
我刚才借了****处理中	145	13
请联系客户	34	152
我今个月的帐单延期了，怎么还有信息发来要扣款呢	61	7
你好我以为有特殊情况，钱一直没还今天我还了	102	118
刚还了六百。怎么还是还八百	1	102
可是上个月借过了	27	60
还款后。征信多久消除	203	136
支付寶登錄不上去	141	9
为什么我*月**号借的款，现在*月**要还两期	1	40
还放款有限	112	79
身份证确认	163	14
 有人工语音吗	305	34
他说合同到期了	82	178
为什么老是提前上传身份证	9	14
放款成功了吗	13	79
我这个月要还款吗？	42	71
为什么**月账单未显示还款记录？	26	40
还款，少钱了	37	1
我想咨询一下 我的借款会在征信显示嘛	136	58
云闪付提示密码错误	107	51
微支付利息是多少	4	10
最近一次消费怎么查？	215	60
怎么老是提现	79	0
合同到期了，但是还没还完钱，云闪付不可以用吗	107	237
我想问个事	98	258
怎么看我当初填的资料	80	9
为什么提现还是没有额度	160	0
微支付的利息怎么算	4	10
收费吗打电话	9	77
货款要不要加上保险费	172	149
ocr	133	9
都还上多少钱	102	121
我的帐单还有多少钱代	121	50
逾期了六天今天晚上还了有利息吗	165	171
已经很多天了 要多少个明日啊	53	0
你们系统过了凌晨**点就是一天吗？	53	9
购物不发货	44	9
我想问下，昨天你们打电话说我的额度是*万*，怎么进来看才****	50	37
现在借款怎么借不出来？	27	0
二次借款可以不用身份证验证吗？	163	9
逾期了，没这么多钱，怎么还一部分	171	41
我还**期就行了是吧	55	144
超次提款什么意思	265	9
审核标准是什么	100	277
我现在还的有多少钱	121	102
我的银行卡上足够的钱扣	41	9
能不能今提款啊	70	0
我这账户正常吗	9	60
你好，为什么还款显示处理中	117	102
逾期了还能提现么	103	118
为什么老借不到	27	0
什么时候申请会有资金	70	204
异常状态	9	120
里面有****元额度，然后云闪付总是不知道他的码	88	17
你们扣我钱干嘛	1	60
那现在我已还款了，能帮我查到上了征信没有，，	203	58
我**月**号有还款账单吗	101	40
安逸花的微众银行利息是多少	127	10
还款查	102	45
本月账单未出	15	40
怎么我的进不去	30	9
我突然借不了了	27	0
三天了都是失败	53	0
申请原价还款	41	97
马上微咋不能用了	4	9
我显示还有额度可借，为什么进入借款就说可借为*	160	50
一条狗	32	9
