tr-0	i want to fly from baltimore to dallas round trip	0
tr-1	round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	1
tr-2	show me the flights arriving on baltimore on june fourteenth	0
tr-3	what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	0
tr-4	which airlines fly from boston to washington dc via other cities	2
tr-5	i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out	0
tr-6	okay and then from pittsburgh i'd like to travel to atlanta on september fourth	0
tr-7	show me all the flights from philadelphia to cincinnati	0
tr-8	okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available	0
tr-9	on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	0
tr-10	american flights from chicago to los angeles morning	0
tr-11	what types of ground transportation are there to san francisco airport	3
tr-12	in the next two days i want to fly from nashville to san jose or to tacoma	0
tr-13	does continental airlines fly from denver to san francisco	0
tr-14	chicago to milwaukee	0
tr-15	how many flights does twa have in business class	4
tr-16	show me the flights from dallas to baltimore in first class	0
tr-17	i'd like to find the least expensive one way fare from boston to philadelphia	1
tr-18	how many booking classes are there	4
tr-19	what are the flights from tacoma to san jose on wednesday the nineteenth	0
tr-20	what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	0
tr-21	please list all the arriving and departing flights from general mitchell international	0
tr-22	what time zone is denver in	5
tr-23	show me ground transportation in boston and in baltimore	3
tr-24	i want to find the first flight from baltimore to boston that serves a meal	0
tr-25	from seattle to salt lake city	0
tr-26	can you show me the flights from dallas to baltimore with economy fares	0
tr-27	what flights leave from phoenix	0
tr-28	what are the flights from pittsburgh to denver	0
tr-29	show flights leaving miami to cleveland on us air that leave after noon	0
tr-30	please give me a list of all the flights between dallas and baltimore and their cost	6
tr-31	what does fare code y mean	7
tr-32	ground transportation in phoenix	3
tr-33	okay could you tell me what flight leaves dallas to san francisco by united airline	0
tr-34	show me all flights from denver to san francisco next wednesday which leave after noon	0
tr-35	is there a flight from atlanta to san francisco that stops over in denver	0
tr-36	show departures and arrivals in atlanta for american airlines	0
tr-37	find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	0
tr-38	i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	0
tr-39	i want a flight originating in denver going to pittsburgh and atlanta in either order	0
tr-40	show me the flights from dallas to atlanta	0
tr-41	what flights are available from denver to san francisco	0
tr-42	what is the cost of a flight from boston to denver	1
tr-43	show me the earliest flight from san jose to pittsburgh that serves a snack	0
tr-44	could you please give me the round trip fare from denver to atlanta	1
tr-45	do you have a flight leaving boston at 645 am going to washington	0
tr-46	what are all the flights into atlanta's airport	0
tr-47	show me the flights from atlanta to denver on friday	0
tr-48	what does fare code qx mean	7
tr-49	i would like information on twa flights from washington to philadelphia	0
tr-50	which airlines fly from boston to washington dc but stopover in some other city	2
tr-51	ground transportation in oakland	3
tr-52	list all afternoon flights on united airlines from san francisco to denver	0
tr-53	show me all flights from san francisco to pittsburgh on a monday	0
tr-54	what is the latest flight leaving boston to denver	0
tr-55	okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	8
tr-56	please show me the flights from las vegas to detroit on the twenty eighth	0
tr-57	what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	2
tr-58	i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia	0
tr-59	give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	0
tr-60	american airlines from denver to milwaukee	0
tr-61	what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	0
tr-62	i need a return flight from philadelphia to boston	0
tr-63	northwest flights with stops in denver	0
tr-64	what is the first class fare from baltimore to dallas	1
tr-65	could you please tell me the airlines that fly from toronto to san diego	2
